抽せん日,候補_3桁,予測番号,百,十,一,joint_prob,model_name,feature_set,gen_at,source,EV_gross,EV_net,price,expected_payout
2025-12-15,981,981,9,8,1,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,980,980,9,8,0,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,979,979,9,7,9,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,978,978,9,7,8,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,977,977,9,7,7,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,016,16,0,1,6,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,015,15,0,1,5,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,012,12,0,1,2,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,011,11,0,1,1,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,010,10,0,1,0,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,009,9,0,0,9,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,008,8,0,0,8,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,007,7,0,0,7,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,006,6,0,0,6,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,005,5,0,0,5,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,004,4,0,0,4,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,003,3,0,0,3,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,002,2,0,0,2,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,993,993,9,9,3,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,176,176,1,7,6,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,175,175,1,7,5,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,174,174,1,7,4,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
