抽せん日,候補_3桁,joint_prob,EV_net,hit,回号,date_key,候補_3桁_pick,EV_net_adj_pick,joint_prob_pick,予測番号,百,十,一,EV_gross,price,expected_payout,model_name,feature_set,gen_at,source,当選番号3
2025-11-17,880,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,880.0,8.0,8.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,913,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,913.0,9.0,1.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,881,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,881.0,8.0,8.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,883,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,883.0,8.0,8.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,884,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,884.0,8.0,8.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,885,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,885.0,8.0,8.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,886,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,886.0,8.0,8.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,887,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,887.0,8.0,8.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,888,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,888.0,8.0,8.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,889,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,889.0,8.0,8.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,890,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,890.0,8.0,9.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,891,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,891.0,8.0,9.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,892,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,892.0,8.0,9.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,893,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,893.0,8.0,9.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,894,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,894.0,8.0,9.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,895,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,895.0,8.0,9.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,864,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,864.0,8.0,6.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,865,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,865.0,8.0,6.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
