抽せん日,番号,rank,joint_prob,expected_payout,price,EV_gross,EV_net,百,十,一,候補_3桁,feature_set,model_name
2025-11-03,451,299,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,5,1,451,V5_joint,CalibratedJoint
2025-11-03,455,300,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,5,5,455,V5_joint,CalibratedJoint
2025-11-03,459,301,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,5,9,459,V5_joint,CalibratedJoint
2025-11-03,460,302,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,6,0,460,V5_joint,CalibratedJoint
2025-11-03,463,303,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,6,3,463,V5_joint,CalibratedJoint
2025-11-03,464,304,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,6,4,464,V5_joint,CalibratedJoint
2025-11-03,465,305,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,6,5,465,V5_joint,CalibratedJoint
2025-11-03,468,306,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,6,8,468,V5_joint,CalibratedJoint
2025-11-03,469,307,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,6,9,469,V5_joint,CalibratedJoint
2025-11-03,470,308,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,0,470,V5_joint,CalibratedJoint
2025-11-03,473,309,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,3,473,V5_joint,CalibratedJoint
2025-11-03,474,310,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,4,474,V5_joint,CalibratedJoint
2025-11-03,475,311,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,5,475,V5_joint,CalibratedJoint
2025-11-03,477,312,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,7,477,V5_joint,CalibratedJoint
2025-11-03,478,313,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,8,478,V5_joint,CalibratedJoint
2025-11-03,479,314,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,7,9,479,V5_joint,CalibratedJoint
2025-11-03,481,315,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,8,1,481,V5_joint,CalibratedJoint
2025-11-03,483,316,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,8,3,483,V5_joint,CalibratedJoint
2025-11-03,484,317,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,8,4,484,V5_joint,CalibratedJoint
2025-11-03,485,318,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,8,5,485,V5_joint,CalibratedJoint
2025-11-03,488,319,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,8,8,488,V5_joint,CalibratedJoint
2025-11-03,489,320,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,8,9,489,V5_joint,CalibratedJoint
2025-11-03,492,321,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,2,492,V5_joint,CalibratedJoint
2025-11-03,493,322,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,3,493,V5_joint,CalibratedJoint
2025-11-03,494,323,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,4,494,V5_joint,CalibratedJoint
2025-11-03,495,324,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,5,495,V5_joint,CalibratedJoint
2025-11-03,496,325,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,6,496,V5_joint,CalibratedJoint
2025-11-03,498,326,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,8,498,V5_joint,CalibratedJoint
2025-11-03,499,327,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,9,9,499,V5_joint,CalibratedJoint
2025-11-03,500,328,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,0,0,500,V5_joint,CalibratedJoint
2025-11-03,503,329,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,0,3,503,V5_joint,CalibratedJoint
2025-11-03,504,330,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,0,4,504,V5_joint,CalibratedJoint
2025-11-03,507,331,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,0,7,507,V5_joint,CalibratedJoint
2025-11-03,508,332,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,0,8,508,V5_joint,CalibratedJoint
2025-11-03,509,333,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,0,9,509,V5_joint,CalibratedJoint
2025-11-03,511,334,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,1,1,511,V5_joint,CalibratedJoint
2025-11-03,514,335,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,1,4,514,V5_joint,CalibratedJoint
2025-11-03,516,336,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,5,1,6,516,V5_joint,CalibratedJoint
